,Sigmar $\sigma_r$,Fsolve,Del Squared,Initial Guess,Iterations,Rel Error
0,0.2,0.2321,0.2321,0.9,6,9.645e-12

Iterations,Lambda,Pore Radius (nm),Relative Error
0,0.9,111.1,10
1,0.002326,111.1,385.9
2,0.355,111.1,0.9934
3,0.2348,111.1,0.5116
4,0.2321,111.1,0.01161
5,0.2321,111.1,1.087e-05
6,0.2321,111.1,9.645e-12

