Held Constant,Samples,Rho As (+/-),Volf (+/-),Result (g),Stdev (+/-)
N/A,100,0,5000,3.567,5.98e-05
Volf,100,0.0025,0,3.588,0.1897
Rho As,100,0.002389,5049,3.395,0.1618
Both,100,0,0,3.202,1.776e-15

