Held Constant,Samples,Rho As (+/-),Volf (+/-),Result (g),Stdev (+/-)
N/A,100,0,5000,3.567,5.281e-05
Volf,100,0.0025,0,3.533,0.1945
Rho As,100,0.002391,4961,3.411,0.1673
Both,100,0,0,3.328,0

