Position (m),GS Temperature (C)
410,0.03702
411,0.03679
412,0.03655
413,0.03631
414,0.03608
415,0.03584
416,0.03561
417,0.03538
418,0.03515
419,0.03492
420,0.0347
421,0.03447
422,0.03425
423,0.03403
424,0.03381
425,0.03359
426,0.03337
427,0.03315
428,0.03294
429,0.03273
430,0.03251
431,0.0323
432,0.03209
433,0.03189
434,0.03168
435,0.03148
436,0.03127
437,0.03107
438,0.03087
439,0.03067
440,0.03047
441,0.03027
442,0.03008
443,0.02988
444,0.02969
445,0.0295
446,0.02931
447,0.02912
448,0.02893
449,0.02874
450,0.02855
451,0.02837
452,0.02818
453,0.028
454,0.02782
455,0.02764
456,0.02746
457,0.02728
458,0.02711
459,0.02693
460,0.02676
461,0.02658
462,0.02641
463,0.02624
464,0.02607
465,0.0259
466,0.02573
467,0.02557
468,0.0254
469,0.02524
470,0.02507
471,0.02491
472,0.02475
473,0.02459
474,0.02443
475,0.02427
476,0.02412
477,0.02396
478,0.02381
479,0.02365
480,0.0235
481,0.02335
482,0.02319
483,0.02304
484,0.0229
485,0.02275
486,0.0226
487,0.02245
488,0.02231
489,0.02216
490,0.02202
491,0.02188
492,0.02174
493,0.0216
494,0.02146
495,0.02132
496,0.02118
497,0.02104
498,0.0209
499,0.02077
500,0.02064
501,0.0205
502,0.02037
503,0.02024
504,0.02011
505,0.01998
506,0.01985
507,0.01972
508,0.01959
509,0.01946
510,0.01934
511,0.01921
512,0.01909
513,0.01896
514,0.01884
515,0.01872
516,0.0186
517,0.01848
518,0.01836
519,0.01824
520,0.01812
521,0.018
522,0.01789
523,0.01777
524,0.01766
525,0.01754
526,0.01743
527,0.01732
528,0.0172
529,0.01709
530,0.01698
531,0.01687
532,0.01676
533,0.01665
534,0.01655
535,0.01644
536,0.01633
537,0.01623
538,0.01612
539,0.01602
540,0.01591
541,0.01581
542,0.01571
543,0.01561
544,0.01551
545,0.0154
546,0.01531
547,0.01521
548,0.01511
549,0.01501
550,0.01491
551,0.01482
552,0.01472
553,0.01462
554,0.01453
555,0.01444
556,0.01434
557,0.01425
558,0.01416
559,0.01407
560,0.01397
561,0.01388
562,0.01379
563,0.0137
564,0.01362
565,0.01353
566,0.01344
567,0.01335
568,0.01327
569,0.01318
570,0.0131
571,0.01301
572,0.01293
573,0.01284
574,0.01276
575,0.01268
576,0.0126
577,0.01251
578,0.01243
579,0.01235
580,0.01227
581,0.01219
582,0.01211
583,0.01204
584,0.01196
585,0.01188
586,0.0118
587,0.01173
588,0.01165
589,0.01158
590,0.0115
591,0.01143
592,0.01135
593,0.01128
594,0.01121
595,0.01113
596,0.01106
597,0.01099
598,0.01092
599,0.01085
600,0.01078
601,0.01071
602,0.01064
603,0.01057
604,0.0105
605,0.01043
606,0.01036
607,0.0103
608,0.01023
609,0.01016
610,0.0101
611,0.01003
612,0.009969
613,0.009904
614,0.00984
615,0.009776
616,0.009713
617,0.00965
618,0.009588
619,0.009526
620,0.009464
621,0.009403
622,0.009342
623,0.009281
624,0.009221
625,0.009162
626,0.009102
627,0.009043
628,0.008985
629,0.008927
630,0.008869
631,0.008811
632,0.008754
633,0.008698
634,0.008641
635,0.008585
636,0.00853
637,0.008474
638,0.00842
639,0.008365
640,0.008311
641,0.008257
642,0.008204
643,0.008151
644,0.008098
645,0.008045
646,0.007993
647,0.007942
648,0.00789
649,0.007839
650,0.007788
651,0.007738
652,0.007688
653,0.007638
654,0.007588
655,0.007539
656,0.007491
657,0.007442
658,0.007394
659,0.007346
660,0.007298
661,0.007251
662,0.007204
663,0.007158
664,0.007111
665,0.007065
666,0.007019
667,0.006974
668,0.006929
669,0.006884
670,0.006839
671,0.006795
672,0.006751
673,0.006707
674,0.006664
675,0.006621
676,0.006578
677,0.006535
678,0.006493
679,0.006451
680,0.006409
681,0.006368
682,0.006326
683,0.006286
684,0.006245
685,0.006204
686,0.006164
687,0.006124
688,0.006085
689,0.006045
690,0.006006
691,0.005967
692,0.005929
693,0.00589
694,0.005852
695,0.005814
696,0.005777
697,0.005739
698,0.005702
699,0.005665
700,0.005628
701,0.005592
702,0.005556
703,0.00552
704,0.005484
705,0.005448
706,0.005413
707,0.005378
708,0.005343
709,0.005309
710,0.005274
711,0.00524
712,0.005206
713,0.005173
714,0.005139
715,0.005106
716,0.005073
717,0.00504
718,0.005007
719,0.004975
720,0.004943
721,0.004911
722,0.004879
723,0.004847
724,0.004816
725,0.004785
726,0.004754
727,0.004723
728,0.004692
729,0.004662
730,0.004632
731,0.004602
732,0.004572
733,0.004542
734,0.004513
735,0.004484
736,0.004455
737,0.004426
738,0.004397
739,0.004369
740,0.00434
741,0.004312
742,0.004284
743,0.004257
744,0.004229
745,0.004202
746,0.004175
747,0.004148
748,0.004121
749,0.004094
750,0.004067
751,0.004041
752,0.004015
753,0.003989
754,0.003963
755,0.003937
756,0.003912
757,0.003887
758,0.003861
759,0.003836
760,0.003812
761,0.003787
762,0.003762
763,0.003738
764,0.003714
765,0.00369
766,0.003666
767,0.003642
768,0.003619
769,0.003595
770,0.003572
771,0.003549
772,0.003526
773,0.003503
774,0.00348
775,0.003458
776,0.003435
777,0.003413
778,0.003391
779,0.003369
780,0.003347
781,0.003326
782,0.003304
783,0.003283
784,0.003261
785,0.00324
786,0.003219
787,0.003198
788,0.003178
789,0.003157
790,0.003137
791,0.003116
792,0.003096
793,0.003076
794,0.003056
795,0.003037
796,0.003017
797,0.002997
798,0.002978
799,0.002959
800,0.002939
801,0.00292
802,0.002902
803,0.002883
804,0.002864
805,0.002846
806,0.002827
807,0.002809
808,0.002791
809,0.002773
810,0.002755
811,0.002737
812,0.002719
813,0.002701
814,0.002684
815,0.002667
816,0.002649
817,0.002632
818,0.002615
819,0.002598
820,0.002581
821,0.002565
822,0.002548
823,0.002532
824,0.002515
825,0.002499
826,0.002483
827,0.002467
828,0.002451
829,0.002435
830,0.002419
831,0.002403
832,0.002388
833,0.002372
834,0.002357
835,0.002342
836,0.002327
837,0.002311
838,0.002296
839,0.002282
840,0.002267
841,0.002252
842,0.002238
843,0.002223
844,0.002209
845,0.002194
846,0.00218
847,0.002166
848,0.002152
849,0.002138
850,0.002124
851,0.002111
852,0.002097
853,0.002083
854,0.00207
855,0.002056
856,0.002043
857,0.00203
858,0.002017
859,0.002004
860,0.001991
861,0.001978
862,0.001965
863,0.001952
864,0.00194
865,0.001927
866,0.001915
867,0.001902
868,0.00189
869,0.001878
870,0.001865
871,0.001853
872,0.001841
873,0.001829
874,0.001818
875,0.001806
876,0.001794
877,0.001783
878,0.001771
879,0.00176
880,0.001748
881,0.001737
882,0.001726
883,0.001714
884,0.001703
885,0.001692
886,0.001681
887,0.00167
888,0.00166
889,0.001649
890,0.001638
891,0.001628
892,0.001617
893,0.001607
894,0.001596
895,0.001586
896,0.001576
897,0.001565
898,0.001555
899,0.001545
900,0.001535
901,0.001525
902,0.001515
903,0.001506
904,0.001496
905,0.001486
906,0.001476
907,0.001467
908,0.001457
909,0.001448
910,0.001439
911,0.001429
912,0.00142
913,0.001411
914,0.001402
915,0.001393
916,0.001384
917,0.001375
918,0.001366
919,0.001357
920,0.001348
921,0.001339
922,0.001331
923,0.001322
924,0.001314
925,0.001305
926,0.001297
927,0.001288
928,0.00128
929,0.001272
930,0.001263
931,0.001255
932,0.001247
933,0.001239
934,0.001231
935,0.001223
936,0.001215
937,0.001207
938,0.001199
939,0.001192
940,0.001184
941,0.001176
942,0.001169
943,0.001161
944,0.001154
945,0.001146
946,0.001139
947,0.001131
948,0.001124
949,0.001117
